0,29956260
1,30046985
2,30259696
3,0
4,1439
5,2531
6,59571684
7,60131474
8,60418767
9,59994180
10,59719249
11,59856344
12,60023375
13,59934978
14,60384490
15,59718654
16,0
17,1481
18,0
